;KEY;AP2;COLLECT_DATE;COMMENT_DATE;COMMENT_DISLIKE;COMMENT_ID;COMMENT_LIKE;COMMENT_TEXT;COMMENT_TITLE;COMPANY_NAME;COUNTRY;LAST_CRAWLER_DATE;PROD_BRAND;PROD_DESC;PROD_HREF;PRODUCT_TYPE;RATING_VALUE;SITE
0;aHR0cHM6Ly93d3cubGl2ZXJwb29sLmNvbS5teC90aWVuZGEvcGRwL1BhbnRhbGxhLVRDTC1MRUQtU21hcnQtVFYtZGUtMzItUHVsZ2FkYXMtSEQtMzJBMzQ1LWNvbi1BbmRyb2lkLVRWLzExMDk5OTI5NzIxMjk2Mjcz;SEM;2021-10-08;2021-10-02;;1296273;;;;LIVERPOOL;MX;2021-10-08 03:23;TCL;Pantalla TCL LED Smart TV de 32 Pulgadas HD 32A345 con Android TV;https://www.liverpool.com.mx/tienda/pdp/Pantalla-TCL-LED-Smart-TV-de-32-Pulgadas-HD-32A345-con-Android-TV/1109992972;CE;5;https://www.liverpool.com.mx/
1;aHR0cHM6Ly93d3cubGl2ZXJwb29sLmNvbS5teC90aWVuZGEvcGRwL1BhbnRhbGxhLVNhbXN1bmctTEVELVNtYXJ0LVRWLWRlLTc1LVB1bGdhZGFzLTRLLVVONzVBVTgwMDBGWFpYLzExMDUxNDI4NDIxMDQ0NzU2;SEM;2021-10-08;2021-06-07;;1044756;;;;LIVERPOOL;MX;2021-10-08 03:23;SAMSUNG;Pantalla Samsung LED Smart TV de 75 Pulgadas 4K UN75AU8000FXZX;https://www.liverpool.com.mx/tienda/pdp/Pantalla-Samsung-LED-Smart-TV-de-75-Pulgadas-4K-UN75AU8000FXZX/1105142842;CE;5;https://www.liverpool.com.mx/
2;aHR0cHM6Ly93d3cubGl2ZXJwb29sLmNvbS5teC90aWVuZGEvcGRwL1BhbnRhbGxhLVNhbXN1bmctTEVELVNtYXJ0LVRWLWRlLTc1LVB1bGdhZGFzLTRLLVVONzVBVTgwMDBGWFpYLzExMDUxNDI4NDIxMDEwMjIx;SEM;2021-10-08;2021-05-28;;1010221;;;;LIVERPOOL;MX;2021-10-08 03:23;SAMSUNG;Pantalla Samsung LED Smart TV de 75 Pulgadas 4K UN75AU8000FXZX;https://www.liverpool.com.mx/tienda/pdp/Pantalla-Samsung-LED-Smart-TV-de-75-Pulgadas-4K-UN75AU8000FXZX/1105142842;CE;4;https://www.liverpool.com.mx/
3;aHR0cHM6Ly93d3cubGl2ZXJwb29sLmNvbS5teC90aWVuZGEvcGRwL1BhbnRhbGxhLVNhbXN1bmctTEVELVNtYXJ0LVRWLWRlLTc1LVB1bGdhZGFzLTRLLVVONzVBVTgwMDBGWFpYLzExMDUxNDI4NDIxMDk5NTYz;SEM;2021-10-08;2021-06-26;;1099563;;;;LIVERPOOL;MX;2021-10-08 03:23;SAMSUNG;Pantalla Samsung LED Smart TV de 75 Pulgadas 4K UN75AU8000FXZX;https://www.liverpool.com.mx/tienda/pdp/Pantalla-Samsung-LED-Smart-TV-de-75-Pulgadas-4K-UN75AU8000FXZX/1105142842;CE;5;https://www.liverpool.com.mx/
4;aHR0cHM6Ly93d3cubGl2ZXJwb29sLmNvbS5teC90aWVuZGEvcGRwL1BhbnRhbGxhLVNhbXN1bmctTEVELVNtYXJ0LVRWLWRlLTc1LVB1bGdhZGFzLTRLLVVONzVBVTgwMDBGWFpYLzExMDUxNDI4NDIxMTAyNjU4;SEM;2021-10-08;2021-06-26;;1102658;;;;LIVERPOOL;MX;2021-10-08 03:23;SAMSUNG;Pantalla Samsung LED Smart TV de 75 Pulgadas 4K UN75AU8000FXZX;https://www.liverpool.com.mx/tienda/pdp/Pantalla-Samsung-LED-Smart-TV-de-75-Pulgadas-4K-UN75AU8000FXZX/1105142842;CE;5;https://www.liverpool.com.mx/
5;aHR0cHM6Ly93d3cubGl2ZXJwb29sLmNvbS5teC90aWVuZGEvcGRwL1BhbnRhbGxhLVNhbXN1bmctTEVELVNtYXJ0LVRWLWRlLTc1LVB1bGdhZGFzLTRLLVVONzVBVTgwMDBGWFpYLzExMDUxNDI4NDIxMDg0OTA5;SEM;2021-10-08;2021-06-20;;1084909;;;;LIVERPOOL;MX;2021-10-08 03:23;SAMSUNG;Pantalla Samsung LED Smart TV de 75 Pulgadas 4K UN75AU8000FXZX;https://www.liverpool.com.mx/tienda/pdp/Pantalla-Samsung-LED-Smart-TV-de-75-Pulgadas-4K-UN75AU8000FXZX/1105142842;CE;5;https://www.liverpool.com.mx/
6;aHR0cHM6Ly93d3cubGl2ZXJwb29sLmNvbS5teC90aWVuZGEvcGRwL1BhbnRhbGxhLVNhbXN1bmctTEVELVNtYXJ0LVRWLWRlLTc1LVB1bGdhZGFzLTRLLVVONzVBVTgwMDBGWFpYLzExMDUxNDI4NDIxMDg1MTc0;SEM;2021-10-08;2021-06-20;;1085174;;;;LIVERPOOL;MX;2021-10-08 03:23;SAMSUNG;Pantalla Samsung LED Smart TV de 75 Pulgadas 4K UN75AU8000FXZX;https://www.liverpool.com.mx/tienda/pdp/Pantalla-Samsung-LED-Smart-TV-de-75-Pulgadas-4K-UN75AU8000FXZX/1105142842;CE;5;https://www.liverpool.com.mx/
7;aHR0cHM6Ly93d3cubGl2ZXJwb29sLmNvbS5teC90aWVuZGEvcGRwL1BhbnRhbGxhLVNhbXN1bmctTEVELVNtYXJ0LVRWLWRlLTc1LVB1bGdhZGFzLTRLLVVONzVBVTgwMDBGWFpYLzExMDUxNDI4NDIxMjY5NTI1;SEM;2021-10-08;2021-09-17;;1269525;;;;LIVERPOOL;MX;2021-10-08 03:23;SAMSUNG;Pantalla Samsung LED Smart TV de 75 Pulgadas 4K UN75AU8000FXZX;https://www.liverpool.com.mx/tienda/pdp/Pantalla-Samsung-LED-Smart-TV-de-75-Pulgadas-4K-UN75AU8000FXZX/1105142842;CE;5;https://www.liverpool.com.mx/
8;aHR0cHM6Ly93d3cubGl2ZXJwb29sLmNvbS5teC90aWVuZGEvcGRwL1BhbnRhbGxhLVNhbXN1bmctTEVELVNtYXJ0LVRWLWRlLTc1LVB1bGdhZGFzLTRLLVVONzVBVTgwMDBGWFpYLzExMDUxNDI4NDIxMTA2Nzc0;SEM;2021-10-08;2021-06-28;;1106774;;;;LIVERPOOL;MX;2021-10-08 03:23;SAMSUNG;Pantalla Samsung LED Smart TV de 75 Pulgadas 4K UN75AU8000FXZX;https://www.liverpool.com.mx/tienda/pdp/Pantalla-Samsung-LED-Smart-TV-de-75-Pulgadas-4K-UN75AU8000FXZX/1105142842;CE;5;https://www.liverpool.com.mx/
9;aHR0cHM6Ly93d3cubGl2ZXJwb29sLmNvbS5teC90aWVuZGEvcGRwL1BhbnRhbGxhLVNhbXN1bmctTEVELVNtYXJ0LVRWLWRlLTc1LVB1bGdhZGFzLTRLLVVONzVBVTgwMDBGWFpYLzExMDUxNDI4NDIxMjUxOTQ1;SEM;2021-10-08;2021-09-06;;1251945;;;;LIVERPOOL;MX;2021-10-08 03:23;SAMSUNG;Pantalla Samsung LED Smart TV de 75 Pulgadas 4K UN75AU8000FXZX;https://www.liverpool.com.mx/tienda/pdp/Pantalla-Samsung-LED-Smart-TV-de-75-Pulgadas-4K-UN75AU8000FXZX/1105142842;CE;5;https://www.liverpool.com.mx/
10;aHR0cHM6Ly93d3cubGl2ZXJwb29sLmNvbS5teC90aWVuZGEvcGRwL1BhbnRhbGxhLVNhbXN1bmctTEVELVNtYXJ0LVRWLWRlLTc1LVB1bGdhZGFzLTRLLVVONzVBVTgwMDBGWFpYLzExMDUxNDI4NDIxMDI0NDE2;SEM;2021-10-08;2021-06-02;;1024416;;;;LIVERPOOL;MX;2021-10-08 03:23;SAMSUNG;Pantalla Samsung LED Smart TV de 75 Pulgadas 4K UN75AU8000FXZX;https://www.liverpool.com.mx/tienda/pdp/Pantalla-Samsung-LED-Smart-TV-de-75-Pulgadas-4K-UN75AU8000FXZX/1105142842;CE;5;https://www.liverpool.com.mx/
11;aHR0cHM6Ly93d3cubGl2ZXJwb29sLmNvbS5teC90aWVuZGEvcGRwL1BhbnRhbGxhLVNhbXN1bmctTEVELVNtYXJ0LVRWLWRlLTc1LVB1bGdhZGFzLTRLLVVONzVBVTgwMDBGWFpYLzExMDUxNDI4NDIxMTIwNDQ2;SEM;2021-10-08;2021-07-03;;1120446;;;;LIVERPOOL;MX;2021-10-08 03:23;SAMSUNG;Pantalla Samsung LED Smart TV de 75 Pulgadas 4K UN75AU8000FXZX;https://www.liverpool.com.mx/tienda/pdp/Pantalla-Samsung-LED-Smart-TV-de-75-Pulgadas-4K-UN75AU8000FXZX/1105142842;CE;5;https://www.liverpool.com.mx/
12;aHR0cHM6Ly93d3cubGl2ZXJwb29sLmNvbS5teC90aWVuZGEvcGRwL1BhbnRhbGxhLVNhbXN1bmctTEVELVNtYXJ0LVRWLWRlLTc1LVB1bGdhZGFzLTRLLVVONzVBVTgwMDBGWFpYLzExMDUxNDI4NDIxMjY2NjQ0;SEM;2021-10-08;2021-09-15;;1266644;;;;LIVERPOOL;MX;2021-10-08 03:23;SAMSUNG;Pantalla Samsung LED Smart TV de 75 Pulgadas 4K UN75AU8000FXZX;https://www.liverpool.com.mx/tienda/pdp/Pantalla-Samsung-LED-Smart-TV-de-75-Pulgadas-4K-UN75AU8000FXZX/1105142842;CE;5;https://www.liverpool.com.mx/
13;aHR0cHM6Ly93d3cubGl2ZXJwb29sLmNvbS5teC90aWVuZGEvcGRwL1BhbnRhbGxhLVNhbXN1bmctTEVELVNtYXJ0LVRWLWRlLTc1LVB1bGdhZGFzLTRLLVVONzVBVTgwMDBGWFpYLzExMDUxNDI4NDIxMTA2MTUx;SEM;2021-10-08;2021-06-27;;1106151;;;;LIVERPOOL;MX;2021-10-08 03:23;SAMSUNG;Pantalla Samsung LED Smart TV de 75 Pulgadas 4K UN75AU8000FXZX;https://www.liverpool.com.mx/tienda/pdp/Pantalla-Samsung-LED-Smart-TV-de-75-Pulgadas-4K-UN75AU8000FXZX/1105142842;CE;5;https://www.liverpool.com.mx/
14;aHR0cHM6Ly93d3cubGl2ZXJwb29sLmNvbS5teC90aWVuZGEvcGRwL1BhbnRhbGxhLVNhbXN1bmctTEVELVNtYXJ0LVRWLWRlLTc1LVB1bGdhZGFzLTRLLVVONzVBVTgwMDBGWFpYLzExMDUxNDI4NDIxMDU1Mzk2;SEM;2021-10-08;2021-06-11;;1055396;;;;LIVERPOOL;MX;2021-10-08 03:23;SAMSUNG;Pantalla Samsung LED Smart TV de 75 Pulgadas 4K UN75AU8000FXZX;https://www.liverpool.com.mx/tienda/pdp/Pantalla-Samsung-LED-Smart-TV-de-75-Pulgadas-4K-UN75AU8000FXZX/1105142842;CE;4;https://www.liverpool.com.mx/
15;aHR0cHM6Ly93d3cubGl2ZXJwb29sLmNvbS5teC90aWVuZGEvcGRwL1BhbnRhbGxhLVNhbXN1bmctTEVELVNtYXJ0LVRWLWRlLTc1LVB1bGdhZGFzLTRLLVVONzVBVTgwMDBGWFpYLzExMDUxNDI4NDIxMTc4NjI3;SEM;2021-10-08;2021-08-01;;1178627;;;;LIVERPOOL;MX;2021-10-08 03:23;SAMSUNG;Pantalla Samsung LED Smart TV de 75 Pulgadas 4K UN75AU8000FXZX;https://www.liverpool.com.mx/tienda/pdp/Pantalla-Samsung-LED-Smart-TV-de-75-Pulgadas-4K-UN75AU8000FXZX/1105142842;CE;5;https://www.liverpool.com.mx/
16;aHR0cHM6Ly93d3cubGl2ZXJwb29sLmNvbS5teC90aWVuZGEvcGRwL1BhbnRhbGxhLVNhbXN1bmctTEVELVNtYXJ0LVRWLWRlLTc1LVB1bGdhZGFzLTRLLVVONzVBVTgwMDBGWFpYLzExMDUxNDI4NDIxMDM0NTcw;SEM;2021-10-08;2021-06-05;;1034570;;;;LIVERPOOL;MX;2021-10-08 03:23;SAMSUNG;Pantalla Samsung LED Smart TV de 75 Pulgadas 4K UN75AU8000FXZX;https://www.liverpool.com.mx/tienda/pdp/Pantalla-Samsung-LED-Smart-TV-de-75-Pulgadas-4K-UN75AU8000FXZX/1105142842;CE;5;https://www.liverpool.com.mx/
17;aHR0cHM6Ly93d3cubGl2ZXJwb29sLmNvbS5teC90aWVuZGEvcGRwL1BhbnRhbGxhLVNhbXN1bmctTEVELVNtYXJ0LVRWLWRlLTc1LVB1bGdhZGFzLTRLLVVONzVBVTgwMDBGWFpYLzExMDUxNDI4NDIxMDUxNzYz;SEM;2021-10-08;2021-06-10;;1051763;;;;LIVERPOOL;MX;2021-10-08 03:23;SAMSUNG;Pantalla Samsung LED Smart TV de 75 Pulgadas 4K UN75AU8000FXZX;https://www.liverpool.com.mx/tienda/pdp/Pantalla-Samsung-LED-Smart-TV-de-75-Pulgadas-4K-UN75AU8000FXZX/1105142842;CE;5;https://www.liverpool.com.mx/
18;aHR0cHM6Ly93d3cubGl2ZXJwb29sLmNvbS5teC90aWVuZGEvcGRwL1BhbnRhbGxhLVNhbXN1bmctTEVELVNtYXJ0LVRWLWRlLTc1LVB1bGdhZGFzLTRLLVVONzVBVTgwMDBGWFpYLzExMDUxNDI4NDIxMTg1NDE3;SEM;2021-10-08;2021-08-04;;1185417;;;;LIVERPOOL;MX;2021-10-08 03:23;SAMSUNG;Pantalla Samsung LED Smart TV de 75 Pulgadas 4K UN75AU8000FXZX;https://www.liverpool.com.mx/tienda/pdp/Pantalla-Samsung-LED-Smart-TV-de-75-Pulgadas-4K-UN75AU8000FXZX/1105142842;CE;5;https://www.liverpool.com.mx/
